,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,,,,,,,,,,,,,,
1,Seattle SuperSonics,W,P,55,27,.671,7.07,112.89,105.72,7.17,6.66,112.71,105.98,6.73
2,Chicago Bulls,E,C,57,25,.695,6.29,113.65,107.03,6.62,6.19,113.58,107.07,6.51
3,Cleveland Cavaliers,E,C,54,28,.659,6.45,113.29,106.68,6.60,6.30,113.22,106.75,6.46
4,Phoenix Suns,W,P,62,20,.756,6.66,113.96,107.39,6.58,6.27,113.89,107.72,6.17
5,New York Knicks,E,A,60,22,.732,6.16,106.75,100.33,6.42,5.87,106.32,100.19,6.13
6,Houston Rockets,W,M,55,27,.671,4.23,110.25,105.67,4.58,3.57,109.93,106.05,3.88
7,Portland Trail Blazers,W,P,51,31,.622,3.11,108.85,105.83,3.02,2.92,108.66,105.84,2.82
8,San Antonio Spurs,W,M,49,33,.598,2.67,110.20,107.44,2.76,2.21,110.04,107.76,2.28
9,Utah Jazz,W,M,47,35,.573,2.17,110.10,107.82,2.27,1.74,109.96,108.13,1.83
10,Indiana Pacers,E,C,41,41,.500,1.70,112.57,110.91,1.66,1.77,112.70,110.95,1.75
11,Orlando Magic,E,A,41,41,.500,1.32,109.06,107.75,1.31,1.35,109.07,107.71,1.35
12,New Jersey Nets,E,A,43,39,.524,1.26,107.19,105.91,1.28,1.20,107.04,105.81,1.23
13,Boston Celtics,E,A,48,34,.585,0.89,109.30,108.44,0.86,0.93,109.41,108.49,0.92
14,Los Angeles Clippers,W,P,41,41,.500,0.35,107.99,107.71,0.27,0.32,107.91,107.68,0.23
15,Charlotte Hornets,E,C,44,38,.537,-0.24,110.22,110.55,-0.33,-0.02,110.32,110.41,-0.09
16,Atlanta Hawks,E,C,43,39,.524,-0.87,109.91,110.79,-0.88,-0.67,110.04,110.71,-0.67
17,Miami Heat,E,A,36,46,.439,-1.15,108.51,109.67,-1.16,-0.93,108.73,109.67,-0.94
18,Detroit Pistons,E,C,40,42,.488,-1.39,108.00,109.34,-1.34,-1.10,108.02,109.06,-1.04
19,Golden State Warriors,W,P,34,48,.415,-0.99,109.62,110.78,-1.16,-0.94,109.74,110.86,-1.12
20,Los Angeles Lakers,W,P,39,43,.476,-1.27,108.10,109.46,-1.36,-1.20,108.13,109.44,-1.31
21,Denver Nuggets,W,M,36,46,.439,-1.74,105.19,106.98,-1.79,-2.14,104.91,107.10,-2.19
22,Sacramento Kings,W,P,25,57,.305,-3.17,107.06,110.26,-3.20,-3.00,107.14,110.18,-3.04
23,Milwaukee Bucks,E,C,28,54,.341,-3.73,106.78,110.80,-4.02,-3.26,106.91,110.43,-3.52
24,Philadelphia 76ers,E,A,26,56,.317,-5.77,105.30,110.94,-5.65,-5.25,105.60,110.73,-5.12
25,Washington Bullets,E,A,22,60,.268,-7.04,104.23,111.39,-7.16,-6.49,104.53,111.13,-6.59
26,Minnesota Timberwolves,W,M,19,63,.232,-7.78,104.40,112.65,-8.25,-7.62,104.56,112.63,-8.07
27,Dallas Mavericks,W,M,11,71,.134,-15.20,100.39,115.50,-15.11,-14.68,100.70,115.31,-14.61
